city,latitude,longitude,distance(mile)
Des Moines,41.5868654,-93.6249494,16545.282118517804
Jefferson City,38.577359,-92.1724265,16545.282118517804
Springfield,39.7990175,-89.6439575,16545.282118517804
Indianapolis,39.7683331,-86.1583502,16545.282118517804
Frankfort,38.2009055,-84.8732836,16545.282118517804
Nashville,36.1622767,-86.7742984,16545.282118517804
Atlanta,33.7544657,-84.3898151,16545.282118517804
Columbia,34.000754,-81.0352313,16545.282118517804
Tallahassee,30.4380832,-84.2809332,16545.282118517804
Montgomery,32.37742,-86.3091683,16545.282118517804
Baton Rouge,30.4494155,-91.1869659,16545.282118517804
Jackson,32.2998686,-90.1830408,16545.282118517804
Little Rock,34.7465071,-92.2896267,16545.282118517804
Austin,30.2711286,-97.7436995,16545.282118517804
Oklahoma City,35.4729886,-97.5170536,16545.282118517804
Topeka,39.049011,-95.677556,16545.282118517804
Lincoln,40.8088861,-96.7077751,16545.282118517804
Cheyenne,41.139981,-104.820246,16545.282118517804
Denver,39.7392364,-104.984862,16545.282118517804
Santa Fe,35.6876096,-105.938456,16545.282118517804
Phoenix,33.4484367,-112.074141,16545.282118517804
Salt Lake City,40.7596198,-111.886797,16545.282118517804
Carson City,39.1663259,-119.7670374,16545.282118517804
Sacramento,38.5810606,-121.493895,16545.282118517804
Honolulu,21.304547,-157.855676,16545.282118517804
Juneau,58.3019496,-134.419734,16545.282118517804
Olympia,47.0451022,-122.8950075,16545.282118517804
Salem,44.9391565,-123.033121,16545.282118517804
Boise,43.6166163,-116.200886,16545.282118517804
Helena,46.5927425,-112.036277,16545.282118517804
Bismarck,46.808327,-100.783739,16545.282118517804
Pierre,44.3683644,-100.351136,16545.282118517804
Saint Paul,44.9497487,-93.0931028,16545.282118517804
Madison,43.074761,-89.3837613,16545.282118517804
Lansing,42.7338254,-84.5546295,16545.282118517804
Columbus,39.9622601,-83.0007065,16545.282118517804
Charleston,38.3505995,-81.6332812,16545.282118517804
Harrisburg,40.2663107,-76.8861122,16545.282118517804
Albany,42.6511674,-73.754968,16545.282118517804
Montpelier,44.2602244,-72.5750364,16545.282118517804
Augusta,44.3169922,-69.7734278,16545.282118517804
Concord,43.207178,-71.537476,16545.282118517804
Boston,42.3554334,-71.060511,16545.282118517804
Providence,41.8239891,-71.4128343,16545.282118517804
Hartford,41.764582,-72.6908547,16545.282118517804
Trenton,40.2203074,-74.7659,16545.282118517804
Dover,39.158168,-75.5243682,16545.282118517804
Annapolis,38.9786401,-76.492786,16545.282118517804
Richmond,37.5385087,-77.43428,16545.282118517804
Raleigh,35.7803977,-78.6390989,16545.282118517804
Washington D.C.,38.8950368,-77.0365427,16545.282118517804
total,-,-,16545.282118517804
